Date,Price,Open,High,Low,Vol.,Change %
8/6/2017,"23,220","23,102","23,338","22,936",1.16M,1.03%
7/6/2017,"22,983","22,793","23,030","22,628",1.44M,0.83%
6/6/2017,"22,793","22,509","22,865","22,391",1.03M,1.26%
5/6/2017,"22,509","22,509","22,675","22,367",586.76K,-0.53%
2/6/2017,"22,628","22,983","22,983","22,462",498.32K,-0.31%
1/6/2017,"22,699","22,154","22,699","22,154",861.36K,2.46%
31/05/2017,"22,154","21,988","22,628","21,988",741.28K,0.22%
30/05/2017,"22,106","22,154","22,391","21,917",1.43M,-0.96%
29/05/2017,"22,320","22,983","23,173","22,320",1.60M,-2.88%
26/05/2017,"22,983","23,102","23,220","22,936",978.44K,-1.32%
25/05/2017,"23,291","23,457","23,931","23,196",1.68M,-0.61%
24/05/2017,"23,433","22,509","23,954","22,509",3.38M,4.65%
23/05/2017,"22,391","21,680","22,509","21,609",1.67M,3.62%
22/05/2017,"21,609","22,509","22,509","21,561",2.78M,1.34%
19/05/2017,"21,324","21,207","21,348","21,184",2.43M,0.66%
18/05/2017,"21,184","21,148","21,383","21,031",1.61M,0.17%
17/05/2017,"21,148","21,266","21,454","20,996",1.48M,-0.39%
16/05/2017,"21,230","21,559","21,559","21,160",2.09M,-1.48%
15/05/2017,"21,548","20,490","21,618","20,490",3.59M,5.41%
12/5/2017,"20,443","20,385","20,467","20,208",1.47M,0.58%
11/5/2017,"20,326","20,326","20,502","20,208",974.80K,0.23%
10/5/2017,"20,279","20,443","20,573","20,279",2.08M,0.06%
9/5/2017,"20,267","19,985","20,267","19,985",1.59M,0.94%
