Date,Price,Open,High,Low,Vol.,Change %
7/9/2016,"5,230.00","5,027.90","5,230.00","4,980.40",36.71M,4.02%
6/9/2016,"5,027.90","5,016.00","5,075.50","5,004.10",27.18M,0.71%
5/9/2016,"4,992.30","5,063.60","5,075.50","4,980.40",29.39M,-0.94%
1/9/2016,"5,039.80","5,087.30","5,087.30","5,016.00",18.51M,-0.93%
31/08/2016,"5,087.30","5,027.90","5,099.20","5,016.00",24.51M,2.15%
30/08/2016,"4,980.40","4,897.20","4,992.30","4,861.50",24.88M,0.96%
29/08/2016,"4,932.80","5,051.70","5,075.50","4,932.80",39.85M,-2.58%
26/08/2016,"5,063.60","5,111.10","5,123.00","5,051.70",18.68M,-0.93%
25/08/2016,"5,111.10","5,039.80","5,111.10","5,016.00",47.56M,4.11%
24/08/2016,"4,909.60","4,979.70","5,059.90","4,899.50",54.17M,-0.61%
23/08/2016,"4,939.60","4,849.50","4,939.60","4,849.50",32.83M,1.65%
22/08/2016,"4,859.50","4,819.40","4,879.50","4,809.40",25.63M,0.62%
19/08/2016,"4,829.40","4,899.50","4,929.60","4,829.40",34.09M,-1.23%
18/08/2016,"4,889.50","4,919.60","4,979.70","4,869.50",38.37M,0.41%
17/08/2016,"4,869.50","4,719.20","4,909.60","4,719.20",43.82M,3.40%
16/08/2016,"4,709.20","4,679.10","4,769.30","4,659.10",33.54M,1.51%
15/08/2016,"4,639.00","4,588.90","4,639.00","4,568.90",42.63M,1.09%
12/8/2016,"4,588.90","4,709.20","4,729.20","4,578.90",42.54M,-0.43%
11/8/2016,"4,609.00","4,538.80","4,629.00","4,538.80",36.65M,1.55%
10/8/2016,"4,538.80","4,358.50","4,609.00","4,358.50",53.17M,4.62%
9/8/2016,"4,338.50","4,278.30","4,338.50","4,278.30",21.92M,1.17%
8/8/2016,"4,288.40","4,328.40","4,358.50","4,278.30",18.45M,-0.70%
5/8/2016,"4,318.40","4,258.30","4,318.40","4,228.20",44.69M,1.17%
4/8/2016,"4,268.30","4,368.50","4,378.50","4,268.30",28.73M,-1.39%
3/8/2016,"4,328.40","4,258.30","4,328.40","4,248.30",28.44M,1.17%
2/8/2016,"4,278.30","4,368.50","4,388.60","4,278.30",59.38M,-3.17%
1/8/2016,"4,418.60","4,468.70","4,468.70","4,358.50",43.37M,-0.90%
29/07/2016,"4,458.70","4,478.70","4,488.70","4,408.60",57.70M,-0.22%
28/07/2016,"4,468.70","4,338.50","4,488.70","4,338.50",55.02M,3.24%
27/07/2016,"4,328.40","4,308.40","4,348.50","4,248.30",68.14M,2.13%
26/07/2016,"4,238.30","4,098.00","4,238.30","4,077.90",46.51M,3.42%
25/07/2016,"4,098.00","4,067.90","4,138.10","4,017.80",35.11M,1.74%
22/07/2016,"4,027.80","4,108.00","4,108.00","3,907.60",48.39M,-2.43%
21/07/2016,"4,128.00","4,128.00","4,188.20","4,108.00",26.89M,0.24%
20/07/2016,"4,118.00","4,198.20","4,228.20","4,118.00",25.43M,-2.14%
19/07/2016,"4,208.20","4,308.40","4,308.40","4,108.00",41.41M,-0.71%
18/07/2016,"4,238.30","4,067.90","4,288.40","4,057.90",55.80M,4.19%
15/07/2016,"4,067.90","4,017.80","4,077.90","3,937.70",34.74M,1.00%
14/07/2016,"4,027.80","4,178.10","4,188.20","4,027.80",47.93M,-3.37%
13/07/2016,"4,168.10","4,158.10","4,208.20","4,158.10",34.92M,1.22%
12/7/2016,"4,118.00","4,088.00","4,148.10","4,027.80",51.71M,1.48%
11/7/2016,"4,057.90","4,278.30","4,298.40","4,057.90",48.13M,-5.15%
8/7/2016,"4,278.30","4,308.40","4,328.40","4,198.20",53.64M,-0.23%
7/7/2016,"4,288.40","4,198.20","4,308.40","4,158.10",34.31M,4.39%
6/7/2016,"4,108.00","4,017.80","4,108.00","3,987.80",46.21M,1.99%
